Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 09, 2017",45.71,46.71,44.22,44.46,44.46,"3,611,364"
"Jun 02, 2017",48.04,48.42,45.20,45.64,45.64,"4,447,939"
"May 26, 2017",48.75,50.28,47.73,48.36,48.36,"2,981,028"
"May 19, 2017",49.28,52.00,48.45,48.90,48.90,"3,178,631"
"May 12, 2017",47.81,49.66,47.35,49.35,49.35,"2,706,716"
"May 05, 2017",45.51,48.22,43.76,47.83,47.83,"3,990,188"
"Apr 28, 2017",49.27,49.76,45.29,45.52,45.52,"3,336,031"
"Apr 21, 2017",50.71,50.93,48.20,48.97,48.97,"3,219,517"
"Apr 14, 2017",52.97,53.21,50.09,50.27,50.27,"1,267,819"
"Apr 07, 2017",51.70,53.76,51.49,53.18,53.18,"3,070,519"
"Mar 31, 2017",50.32,51.88,49.88,51.70,51.70,"2,624,802"
"Mar 24, 2017",47.67,50.47,47.08,50.35,50.35,"2,518,863"
"Mar 17, 2017",48.79,49.20,47.01,47.70,47.70,"2,123,444"
"Mar 10, 2017",49.61,50.11,47.09,48.75,48.75,"3,428,674"
"Mar 03, 2017",52.58,53.80,48.59,49.28,49.28,"3,471,627"
"Feb 24, 2017",54.33,54.61,52.54,52.61,52.61,"2,513,226"
"Feb 17, 2017",53.47,54.94,52.88,54.45,54.45,"1,890,022"
"Feb 10, 2017",53.15,54.13,52.68,53.36,53.36,"2,482,506"
"Feb 03, 2017",53.68,54.22,51.22,53.00,53.00,"2,889,333"
"Jan 27, 2017",53.74,54.34,52.24,53.54,53.54,"2,638,337"
"Jan 20, 2017",51.45,54.06,51.39,53.78,53.78,"2,710,623"
"Jan 13, 2017",53.05,53.52,50.91,51.37,51.37,"1,442,840"
"Jan 06, 2017",53.73,54.32,50.71,53.01,53.01,"3,202,348"
"Dec 30, 2016",53.87,55.24,52.11,53.76,53.76,"2,028,890"
"Dec 23, 2016",52.68,54.37,52.26,53.77,53.77,"1,245,201"
"Dec 16, 2016",51.10,53.79,50.50,52.95,52.95,"1,664,629"
"Dec 09, 2016",50.92,54.51,49.95,50.90,50.90,"3,367,177"
"Dec 02, 2016",51.01,52.42,49.61,50.84,50.84,"3,507,568"
"Nov 25, 2016",47.97,51.80,44.82,51.06,51.06,"4,218,981"
"Nov 18, 2016",44.93,49.20,44.55,47.96,47.96,"2,204,046"
"Nov 11, 2016",44.35,46.58,42.20,45.42,45.42,"2,985,121"
"Nov 04, 2016",44.63,45.95,43.07,44.66,44.66,"3,644,907"
"Oct 28, 2016",49.61,49.81,44.37,44.66,44.66,"3,249,068"
"Oct 21, 2016",50.66,51.02,48.87,49.72,49.72,"2,950,969"
"Oct 14, 2016",50.58,51.93,49.47,50.43,50.43,"1,812,331"
"Oct 07, 2016",50.59,51.60,49.15,50.44,50.44,"3,345,047"
"Sep 30, 2016",47.76,50.63,47.04,50.44,50.44,"2,536,231"
"Sep 23, 2016",46.07,48.32,44.19,47.83,47.83,"3,587,354"
"Sep 16, 2016",43.71,46.52,42.55,46.32,46.32,"2,162,845"
"Sep 09, 2016",47.36,47.36,43.26,43.91,43.91,"3,334,028"
"Sep 02, 2016",43.55,47.75,43.16,47.62,47.62,"2,843,887"
"Aug 26, 2016",47.37,48.46,43.00,43.16,43.16,"2,486,057"
"Aug 19, 2016",48.33,48.75,46.42,47.33,47.33,"2,363,909"
"Aug 12, 2016",43.46,48.38,43.31,48.22,48.22,"2,401,678"
"Aug 05, 2016",41.84,43.86,41.06,43.49,43.49,"3,095,805"
"Jul 29, 2016",41.12,42.08,39.19,41.93,41.93,"2,800,317"
"Jul 22, 2016",44.60,44.97,41.04,41.14,41.14,"2,264,871"
"Jul 15, 2016",45.52,46.33,43.69,44.75,44.75,"1,743,762"
"Jul 08, 2016",45.19,46.93,44.42,45.68,45.68,"3,034,998"
"Jul 01, 2016",48.38,49.35,44.87,45.14,45.14,"2,332,937"
"Jun 24, 2016",50.30,50.45,45.83,48.33,48.33,"2,673,122"
"Jun 17, 2016",45.99,50.54,45.83,50.11,50.11,"1,772,177"
"Jun 10, 2016",50.47,50.73,45.91,46.21,46.21,"2,594,079"
"Jun 03, 2016",49.04,51.67,48.33,50.56,50.56,"2,690,899"
"May 27, 2016",49.31,50.10,47.75,49.17,49.17,"2,017,059"
"May 20, 2016",48.20,50.21,47.40,49.48,49.48,"2,528,431"
"May 13, 2016",46.41,48.95,45.75,48.16,48.16,"1,992,666"
"May 06, 2016",44.52,47.02,43.03,46.70,46.70,"3,757,348"
"Apr 29, 2016",45.90,46.78,43.22,44.32,44.32,"3,145,301"
"Apr 22, 2016",43.42,46.14,42.50,46.03,46.03,"2,881,322"
"Apr 15, 2016",41.43,44.49,37.61,43.18,43.18,"2,431,686"
"Apr 08, 2016",37.52,42.42,37.45,41.50,41.50,"3,512,469"
"Apr 01, 2016",38.14,38.56,35.24,37.26,37.26,"2,960,007"
"Mar 25, 2016",39.55,40.14,37.57,38.34,38.34,"1,862,428"
"Mar 18, 2016",40.25,41.90,38.33,39.46,39.46,"2,060,352"
"Mar 11, 2016",37.99,40.36,35.96,40.20,40.20,"2,293,016"
"Mar 04, 2016",34.66,38.51,34.40,37.84,37.84,"3,437,160"
"Feb 26, 2016",33.04,35.32,32.32,34.57,34.57,"2,835,784"
"Feb 19, 2016",30.60,33.53,29.05,33.07,33.07,"2,427,716"
